k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048576,2097152,0.09,188743,32,256,4096,32,170,235.107824,0.396059859435,-412.130881,-177.023057,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,171,236.444033,0.396059859435,-414.453383,-178.009350,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,172,237.780243,0.396059859435,-416.775912,-178.995669,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,173,239.116453,0.396059859435,-419.098471,-179.982018,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,174,240.452662,0.396059859435,-421.421062,-180.968399,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,175,241.788872,0.396059859435,-423.743687,-181.954815,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,176,243.125081,0.396059859435,-426.066349,-182.941268,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,177,244.461291,0.396059859435,-428.389050,-183.927759,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,178,245.797501,0.396059859435,-430.711791,-184.914290,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,179,247.133710,0.396059859435,-433.034573,-185.900863,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,180,248.469920,0.396059859435,-435.357398,-186.887478,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,181,249.806129,0.396059859435,-437.680267,-187.874137,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,182,251.142339,0.396059859435,-440.003179,-188.860840,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,183,252.478549,0.396059859435,-442.326137,-189.847588,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,184,253.814758,0.396059859435,-444.649139,-190.834381,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,185,255.150968,0.396059859435,-446.972188,-191.821220,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,186,256.487178,0.396059859435,-449.295283,-192.808105,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,187,257.823387,0.396059859435,-451.618423,-193.795036,-40.520728
